ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2025,2,72,89.72,100,1
2025,2,42,88.49,100,2
2025,2,6,71.32,100,3
2025,2,73,85.42,100,4
2025,2,68,49.08,100,5
2025,2,60,72.19,100,6
2025,2,18,65.75,100,7
2025,2,26,84.09,100,8
2025,2,71,69.09,100,9
2025,2,23,97.19,100,10
2025,2,76,74.99,100,11
2025,2,21,39.1,100,12
2025,2,57,54.08,100,13
2025,2,53,77.12,100,14
2025,2,9,61.42,100,15
2025,2,66,85.39,100,16
2025,2,49,81.19,100,17
2025,2,62,73.79,100,18
2025,2,70,49.73,100,19
2025,2,5,87.09,100,20
2025,2,59,87.19,100,21
2025,2,47,60.79,100,22
2025,2,45,65.62,100,23
2025,2,28,86.09,100,24
2025,2,36,87.19,100,25
2025,2,3,68.49,100,26
2025,2,11,70.99,100,27
2025,2,54,84.32,100,28
2025,2,77,81.79,100,29
2025,2,27,79.89,100,30
2025,2,44,57.49,100,31
2025,2,46,96.09,100,32
2025,2,16,65.72,100,33
2025,2,32,78.59,100,34
2025,2,67,81.39,100,35
2025,2,80,47.59,100,36
2025,2,29,81.19,100,37
2025,2,74,47.68,100,38
2025,2,78,70.69,100,39
2025,2,13,81.99,100,40
2025,2,50,75.12,100,41
2025,2,34,53.19,100,42
2025,2,40,56.72,100,43
2025,2,58,85.69,100,44
2025,2,15,69.59,100,45
2025,2,43,88.29,100,46
2025,2,19,63.22,100,47
2025,2,14,82.39,100,48
2025,2,38,84.59,100,49
2025,2,12,71.82,100,50
2025,2,20,75.49,100,51
2025,2,69,81.59,100,52
2025,2,56,76.02,100,53
2025,2,41,60.62,100,54
2025,2,55,58.12,100,55
2025,2,35,19.22,100,56
2025,2,79,70.29,100,57
2025,2,2,71.89,100,58
2025,2,25,63.19,100,59
2025,2,48,92.32,100,60
2025,2,52,100.19,100,61
2025,2,30,87.39,100,62
2025,2,7,78.62,100,63
2025,2,64,65.42,100,64
2025,2,31,92.62,100,65
2025,2,39,57.89,100,66
2025,2,81,77.78,100,67
2025,2,24,84.89,100,68
2025,2,33,100.19,100,69
2025,2,8,44.22,100,70
2025,2,10,58.99,100,71
2025,2,17,78.25,100,72
2025,2,4,58.52,100,73
2025,2,1,75.09,100,74
2025,2,61,54.49,100,75
2025,2,37,66.52,100,76
2025,2,75,76.62,100,77
2025,2,22,82.92,100,78
2025,2,63,66.88,100,79
2025,2,65,75.59,100,80
2025,2,51,67.72,100,81
