ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2026,17,56,94.45,131.29,1
2026,17,59,92.06,142.59,2
2026,17,53,91.66,126.57,3
2026,17,31,89.57,126.77,4
2026,17,74,87.27,131.21,5
2026,17,7,86.07,156.98,6
2026,17,42,86.07,144.70,7
2026,17,25,85.67,155.19,8
2026,17,75,84.47,167.27,9
2026,17,6,84.47,158.15,10
2026,17,48,84.17,136.59,11
2026,17,21,83.97,154.22,12
2026,17,81,83.86,133.08,13
2026,17,77,83.40,142.25,14
2026,17,55,83.27,152.06,15
2026,17,43,82.77,144.41,16
2026,17,33,82.67,149.32,17
2026,17,64,81.87,156.52,18
2026,17,27,81.07,144.15,19
2026,17,44,80.57,146.99,20
2026,17,72,79.87,141.61,21
2026,17,61,79.67,139.54,22
2026,17,62,79.10,124.96,23
2026,17,3,78.47,146.46,24
2026,17,47,78.27,141.90,25
2026,17,50,78.07,161.33,26
2026,17,28,77.37,143.19,27
2026,17,24,77.17,141.38,28
2026,17,8,77.17,148.93,29
2026,17,19,75.97,153.52,30
2026,17,63,75.67,156.53,31
2026,17,4,75.57,145.38,32
2026,17,18,75.47,156.54,33
2026,17,14,74.97,143.15,34
2026,17,32,74.77,149.04,35
2026,17,51,74.17,148.58,36
2026,17,54,73.75,147.73,37
2026,17,80,73.67,138.65,38
2026,17,73,73.47,147.45,39
2026,17,45,72.97,138.77,40
2026,17,49,72.87,162.03,41
2026,17,30,71.27,145.04,42
2026,17,78,71.17,140.47,43
2026,17,2,70.60,150.67,44
2026,17,82,70.47,136.65,45
2026,17,68,69.57,142.92,46
2026,17,9,69.27,146.24,47
2026,17,1,69.27,131.58,48
2026,17,70,69.07,140.80,49
2026,17,17,69.07,147.45,50
2026,17,22,68.97,129.37,51
2026,17,46,68.90,125.48,52
2026,17,10,68.07,146.59,53
2026,17,13,67.57,134.32,54
2026,17,36,67.17,143.88,55
2026,17,11,67.07,152.22,56
2026,17,57,67.07,145.12,57
2026,17,71,66.67,144.05,58
2026,17,65,66.37,140.05,59
2026,17,69,65.87,137.59,60
2026,17,67,64.87,239.80,61
2026,17,5,64.27,156.18,62
2026,17,35,64.17,146.43,63
2026,17,15,63.77,143.98,64
2026,17,41,63.37,145.72,65
2026,17,79,62.97,140.89,66
2026,17,34,62.97,159.46,67
2026,17,23,60.20,148.96,68
2026,17,12,59.77,140.53,69
2026,17,16,59.47,142.14,70
2026,17,39,58.67,150.61,71
2026,17,26,56.97,132.16,72
2026,17,60,56.67,134.48,73
2026,17,20,55.57,153.26,74
2026,17,40,54.70,144.37,75
2026,17,66,53.17,149.82,76
2026,17,38,52.60,156.10,77
2026,17,83,38.89,102.72,78
2026,17,58,36.61,109.86,79
2026,17,37,31.36,152.50,80
2026,17,52,27.80,103.72,81
2026,17,76,12.60,107.67,82
2026,17,29,11.70,91.94,83
