ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2026,23,80,102,24,155.93,1
2026,23,77,84,94,159.20,2
2026,23,48,84,67,139.64,3
2026,23,32,81,74,154.12,4
2026,23,16,79,37,145.25,5
2026,23,10,78,67,144.18,6
2026,23,11,78,45,163.13,7
2026,23,55,78,15,143.65,8
2026,23,57,76,35,142.70,9
2026,23,35,75,87,145.50,10
2026,23,2,74,51,159.37,11
2026,23,54,74,21,155.54,12
2026,23,39,73,57,156.32,13
2026,23,82,72,85,145.92,14
2026,23,60,72,45,143.71,15
2026,23,8,71,95,159.68,16
2026,23,37,70,35,161.70,17
2026,23,33,70,34,156.03,18
2026,23,18,70,15,166.72,19
2026,23,28,69,55,148.68,20
2026,23,62,69,37,141.15,21
2026,23,24,69,11,154.67,22
2026,23,42,69,07,163.09,23
2026,23,43,68,57,156.40,24
2026,23,13,68,14,139.86,25
2026,23,27,68,01,155.23,26
2026,23,5,67,87,167.49,27
2026,23,65,67,75,149.35,28
2026,23,51,67,47,160.44,29
2026,23,9,66,65,153.94,30
2026,23,14,66,05,150.66,31
2026,23,75,64,37,173.69,32
2026,23,25,64,37,181.30,33
2026,23,12,64,05,145.98,34
2026,23,45,64,146.89,35
2026,23,34,63,97,169.76,36
2026,23,79,63,35,139.67,37
2026,23,83,63,3,100.07,38
2026,23,67,63,27,272.58,39
2026,23,53,62,75,133.87,40
2026,23,81,62,21,152.29,41
2026,23,61,62,05,144.51,42
2026,23,50,61,95,162.92,43
2026,23,31,61,71,142.48,44
2026,23,1,61,45,135.40,45
2026,23,17,61,35,156.95,46
2026,23,63,61,35,171.99,47
2026,23,49,61,35,173.61,48
2026,23,71,61,05,143.63,49
2026,23,7,60,81,170.37,50
2026,23,4,60,77,155.66,51
2026,23,68,60,55,155.32,52
2026,23,59,60,55,138.13,53
2026,23,22,60,47,139.18,54
2026,23,72,59,63,137.85,55
2026,23,19,59,35,156.54,56
2026,23,20,59,05,160.94,57
2026,23,6,58,85,169.50,58
2026,23,70,56,75,145.24,59
2026,23,74,55,67,122.05,60
2026,23,3,55,37,147.84,61
2026,23,66,54,97,166.88,62
2026,23,36,54,85,144.95,63
2026,23,64,54,05,159.55,64
2026,23,46,53,35,135.06,65
2026,23,15,52,35,165.12,66
2026,23,41,52,25,143.79,67
2026,23,69,52,05,149.08,68
2026,23,73,51,95,161.03,69
2026,23,78,51,45,144.45,70
2026,23,23,50,4,174.24,71
2026,23,52,50,98.76,72
2026,23,44,49,07,156.79,73
2026,23,76,46,5,107.61,74
2026,23,21,46,25,164.33,75
2026,23,26,45,47,143.75,76
2026,23,56,45,45,133.97,77
2026,23,30,42,97,155.17,78
2026,23,47,41,05,150.25,79
2026,23,38,39,57,169.55,80
2026,23,58,39,51,106.96,81
2026,23,40,39,05,158.87,82
2026,23,29,13,8,91.00,83
