ano,rodada,time_id,pontos
2026,4,1,74.28
2026,4,2,81.28
2026,4,3,78.55
2026,4,4,88.88
2026,4,5,29.36
2026,4,6,40.28
2026,4,7,63.49
2026,4,8,81.05
2026,4,9,35.76
2026,4,10,61.15
2026,4,11,103.35
2026,4,12,41.85
2026,4,13,74.25
2026,4,14,58.96
2026,4,15,57.88
2026,4,16,43.45
2026,4,17,56.65
2026,4,18,69.45
2026,4,19,58.45
2026,4,20,49.36
2026,4,21,74.56
2026,4,22,81.95
2026,4,23,55.35
2026,4,24,76.86
2026,4,25,89.05
2026,4,26,79.95
2026,4,27,49.65
2026,4,28,62.75
2026,4,29,85.05
2026,4,30,76.46
2026,4,31,63.65
2026,4,32,78.95
2026,4,33,73.80
2026,4,34,61.15
2026,4,35,80.16
2026,4,36,80.16
2026,4,37,72.56
2026,4,38,67.08
2026,4,39,79.95
2026,4,40,86.65
2026,4,41,78.68
2026,4,42,45.85
2026,4,43,58.38
2026,4,44,78.95
2026,4,45,27.70
2026,4,46,81.15
2026,4,47,82.06
2026,4,48,48.28
2026,4,49,74.65
2026,4,50,81.78
2026,4,51,53.66
2026,4,52,55.35
2026,4,53,25.70
2026,4,54,53.89
2026,4,55,82.15
2026,4,56,101.76
2026,4,57,64.48
2026,4,58,42.45
2026,4,59,99.83
