ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2026,10,38,72.23,138.97,1
2026,10,11,71.77,137.07,2
2026,10,49,71.49,149.37,3
2026,10,57,70.57,138.77,4
2026,10,23,69.53,113.21,5
2026,10,47,68.77,131.40,6
2026,10,54,68.77,136.55,7
2026,10,51,68.19,144.58,8
2026,10,3,66.57,138.48,9
2026,10,8,65.87,123.27,10
2026,10,55,63.87,136.77,11
2026,10,67,63.07,188.65,12
2026,10,50,63.05,140.08,13
2026,10,9,62.29,135.93,14
2026,10,44,62.17,137.45,15
2026,10,5,61.79,149.77,16
2026,10,62,61.18,131.93,17
2026,10,73,60.75,134.08,18
2026,10,20,60.37,142.36,19
2026,10,37,60.19,149.44,20
2026,10,64,60.17,143.34,21
2026,10,15,59.69,154.35,22
2026,10,21,59.57,140.50,23
2026,10,69,58.67,122.60,24
2026,10,28,58.67,127.69,25
2026,10,6,58.37,143.68,26
2026,10,75,57.68,141.22,27
2026,10,45,57.45,129.30,28
2026,10,17,57.27,143.03,29
2026,10,22,56.37,135.28,30
2026,10,72,56.27,138.02,31
2026,10,4,55.85,133.45,32
2026,10,74,55.17,122.23,33
2026,10,77,54.78,133.22,34
2026,10,26,54.67,139.14,35
2026,10,63,54.59,142.35,36
2026,10,56,54.07,128.35,37
2026,10,78,54.07,129.64,38
2026,10,34,53.97,152.35,39
2026,10,25,53.87,138.39,40
2026,10,42,53.65,137.16,41
2026,10,13,53.58,131.55,42
2026,10,2,53.08,140.03,43
2026,10,48,53.07,131.63,44
2026,10,27,53.07,130.56,45
2026,10,1,52.87,128.83,46
2026,10,80,52.78,125.78,47
2026,10,30,52.67,133.12,48
2026,10,65,52.37,135.98,49
2026,10,40,52.00,134.63,50
2026,10,53,51.87,108.58,51
2026,10,24,51.87,128.29,52
2026,10,36,50.99,137.13,53
2026,10,31,50.77,119.34,54
2026,10,39,50.67,146.35,55
2026,10,12,50.10,124.97,56
2026,10,81,49.55,116.36,57
2026,10,43,49.48,129.87,58
2026,10,32,48.97,142.28,59
2026,10,82,48.47,124.22,60
2026,10,35,48.27,143.46,61
2026,10,18,47.87,139.58,62
2026,10,52,46.65,102.44,63
2026,10,66,46.47,148.30,64
2026,10,41,46.17,140.31,65
2026,10,59,45.78,125.29,66
2026,10,61,45.06,130.02,67
2026,10,79,44.17,135.85,68
2026,10,71,43.37,134.08,69
2026,10,10,42.98,137.30,70
2026,10,19,42.87,138.51,71
2026,10,70,42.77,130.98,72
2026,10,68,41.69,134.92,73
2026,10,14,40.35,121.64,74
2026,10,60,38.98,120.45,75
2026,10,16,37.67,127.29,76
2026,10,46,35.35,107.97,77
2026,10,58,35.22,111.66,78
2026,10,33,30.07,131.19,79
2026,10,76,26.50,112.02,80
2026,10,7,20.87,136.17,81
2026,10,29,11.90,92.94,82
2026,10,83,0,100.00,83
