ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2026,14,68,105.81,131.40,1
2026,14,40,99.89,120.69,2
2026,14,51,98.41,131.84,3
2026,14,67,97.41,132.56,4
2026,14,10,96.95,116.58,5
2026,14,37,96.31,125.65,6
2026,14,15,93.31,129.86,7
2026,14,35,93.21,123.29,8
2026,14,70,92.85,119.46,9
2026,14,64,89.99,123.86,10
2026,14,41,89.71,122.01,11
2026,14,19,89.51,124.71,12
2026,14,77,89.41,133.47,13
2026,14,7,88.81,122.63,14
2026,14,49,87.71,123.66,15
2026,14,72,87.61,118.52,16
2026,14,82,87.31,119.35,17
2026,14,44,87.21,120.75,18
2026,14,55,86.91,126.14,19
2026,14,36,86.61,122.43,20
2026,14,5,86.31,125.63,21
2026,14,59,86.01,121.74,22
2026,14,45,85.61,120.11,23
2026,14,33,85.11,120.49,24
2026,14,21,84.61,119.36,25
2026,14,66,84.59,121.07,26
2026,14,54,82.41,120.14,27
2026,14,25,82.29,111.83,28
2026,14,34,81.09,118.09,29
2026,14,20,80.21,129.37,30
2026,14,27,79.61,121.40,31
2026,14,39,78.41,123.48,32
2026,14,43,77.95,114.43,33
2026,14,9,77.91,123.98,34
2026,14,80,77.45,112.64,35
2026,14,79,77.31,121.06,36
2026,14,73,76.31,122.12,37
2026,14,50,76.31,117.90,38
2026,14,14,75.59,114.10,39
2026,14,38,75.51,113.80,40
2026,14,69,75.51,116.28,41
2026,14,62,75.09,117.62,42
2026,14,11,74.71,120.87,43
2026,14,61,74.05,116.80,44
2026,14,32,73.91,120.74,45
2026,14,6,73.81,123.17,46
2026,14,8,73.61,114.89,47
2026,14,56,73.49,113.24,48
2026,14,23,73.47,105.35,49
2026,14,17,73.41,121.33,50
2026,14,4,73.41,114.34,51
2026,14,2,72.99,118.10,52
2026,14,30,72.21,120.39,53
2026,14,75,72.21,123.23,54
2026,14,74,72.09,109.69,55
2026,14,63,71.91,121.41,56
2026,14,22,71.75,116.65,57
2026,14,3,71.21,117.01,58
2026,14,28,70.41,120.39,59
2026,14,48,69.91,117.55,60
2026,14,24,68.91,118.81,61
2026,14,78,68.31,115.87,62
2026,14,57,66.71,113.40,63
2026,14,26,65.21,117.11,64
2026,14,42,65.11,118.71,65
2026,14,18,63.91,120.81,66
2026,14,13,63.19,110.74,67
2026,14,65,62.21,117.81,68
2026,14,46,61.49,111.13,69
2026,14,71,57.71,109.67,70
2026,14,16,56.01,107.16,71
2026,14,53,54.11,101.53,72
2026,14,58,54.01,110.72,73
2026,14,60,53.21,110.64,74
2026,14,1,52.71,102.61,75
2026,14,47,51.55,105.03,76
2026,14,31,49.61,113.30,77
2026,14,12,49.61,100.12,78
2026,14,76,46.09,110.46,79
2026,14,81,45.89,100.46,80
2026,14,29,40.05,99.38,81
2026,14,52,64.39,104.48,82
2026,14,83,0,100.00,83
