ano,rodada,time_id,pontos
2026,20,1,96.31
2026,20,2,102.21
2026,20,3,102.21
2026,20,4,99.31
2026,20,5,95.22
2026,20,6,96.45
2026,20,7,113.71
2026,20,8,106.61
2026,20,9,70.83
2026,20,10,81.81
2026,20,11,89.12
2026,20,12,89.51
2026,20,13,114.41
2026,20,14,110.81
2026,20,15,112.21
2026,20,16,24.25
2026,20,17,107.81
2026,20,18,106.01
2026,20,19,90.91
2026,20,20,38.45
2026,20,21,97.31
2026,20,22,107.80
2026,20,23,114.21
2026,20,24,91.62
2026,20,25,79.78
2026,20,26,101.51
2026,20,27,109.61
2026,20,28,108.71
2026,20,29,108.85
2026,20,30,90.51
2026,20,31,111.91
2026,20,32,96.11
2026,20,33,73.80
2026,20,34,95.72
2026,20,35,94.11
2026,20,36,99.11
2026,20,37,84.11
2026,20,38,99.31
2026,20,39,89.01
2026,20,40,98.51
2026,20,41,94.42
2026,20,42,98.81
2026,20,43,101.21
2026,20,44,100.61
2026,20,45,88.31
2026,20,46,101.61
2026,20,47,109.01
2026,20,48,101.21
2026,20,49,113.43
2026,20,50,120.11
2026,20,51,102.61
2026,20,52,96.18
2026,20,53,95.71
2026,20,54,98.82
2026,20,55,100.11
2026,20,56,107.15
2026,20,57,93.81
2026,20,58,94.61
2026,20,59,113.81
