ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2026,6,39,102.55,118.37,1
2026,6,6,99.65,118.98,2
2026,6,51,96.45,120.85,3
2026,6,77,95.53,127.65,4
2026,6,48,95.19,112.70,5
2026,6,11,93.85,117.45,6
2026,6,18,93.55,120.55,7
2026,6,63,92.25,117.37,8
2026,6,44,92.23,111.92,9
2026,6,9,87.63,118.65,10
2026,6,32,85.45,117.54,11
2026,6,64,85.35,116.21,12
2026,6,36,85.13,112.62,13
2026,6,20,84.95,121.15,14
2026,6,19,84.83,117.85,15
2026,6,17,84.75,117.72,16
2026,6,57,83.65,111.14,17
2026,6,2,82.09,114.28,18
2026,6,34,81.93,111.94,19
2026,6,41,81.65,113.95,20
2026,6,42,80.75,115.66,21
2026,6,43,80.35,108.79,22
2026,6,31,80.33,116.10,23
2026,6,13,80.29,109.32,24
2026,6,21,79.33,111.82,25
2026,6,26,79.25,115.55,26
2026,6,55,79.15,117.35,27
2026,6,15,78.93,118.26,28
2026,6,67,78.25,117.23,29
2026,6,68,76.63,119.46,30
2026,6,24,76.45,114.43,31
2026,6,82,76.05,110.30,32
2026,6,22,74.05,111.35,33
2026,6,38,73.75,108.70,34
2026,6,49,73.15,114.42,35
2026,6,47,73.15,105.43,36
2026,6,73,72.75,115.56,37
2026,6,45,72.75,111.90,38
2026,6,72,72.25,109.89,39
2026,6,7,72.13,111.94,40
2026,6,65,71.95,116.30,41
2026,6,79,71.45,115.86,42
2026,6,50,71.45,111.34,43
2026,6,54,70.33,113.04,44
2026,6,71,70.25,111.02,45
2026,6,5,69.73,115.30,46
2026,6,16,69.15,105.90,47
2026,6,69,68.93,110.58,48
2026,6,28,68.85,117.03,49
2026,6,30,68.73,115.76,50
2026,6,8,68.65,109.94,51
2026,6,3,68.43,112.69,52
2026,6,61,68.15,110.62,53
2026,6,4,67.65,108.13,54
2026,6,58,67.45,110.65,55
2026,6,70,66.56,111.37,56
2026,6,60,65.85,112.59,57
2026,6,33,65.55,112.87,58
2026,6,12,65.45,103.57,59
2026,6,66,64.93,113.94,60
2026,6,75,64.85,118.76,61
2026,6,27,64.25,115.06,62
2026,6,62,63.85,113.90,63
2026,6,10,62.95,103.57,64
2026,6,25,61.25,103.72,65
2026,6,35,61.05,115.06,66
2026,6,40,60.98,107.89,67
2026,6,37,60.73,113.63,68
2026,6,14,59.99,107.86,69
2026,6,78,58.65,113.02,70
2026,6,59,55.85,113.97,71
2026,6,81,55.75,104.48,72
2026,6,56,52.43,106.85,73
2026,6,1,52.05,101.12,74
2026,6,23,51.15,100.31,75
2026,6,80,47.95,106.19,76
2026,6,46,44.25,104.96,77
2026,6,53,42.65,101.28,78
2026,6,74,38.06,103.80,79
2026,6,29,23.32,98.10,80
2026,6,76,19.66,105.14,81
2026,6,52,0,100.00,82
2026,6,83,0,100.00,83
