ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2026,13,66,109.87,146.57,1
2026,13,71,102.87,130.88,2
2026,13,6,102.07,139.85,3
2026,13,19,98.77,138.51,4
2026,13,32,98.27,139.97,5
2026,13,35,97.47,143.55,6
2026,13,63,97.37,137.15,7
2026,13,17,97.27,138.91,8
2026,13,39,95.17,143.16,9
2026,13,64,93.67,140.24,10
2026,13,38,92.37,124.02,11
2026,13,42,89.57,139.06,12
2026,13,25,88.12,128.12,13
2026,13,67,87.67,151.00,14
2026,13,41,87.57,141.29,15
2026,13,47,87.36,122.81,16
2026,13,61,87.07,134.64,17
2026,13,15,85.87,150.09,18
2026,13,57,85.47,126.88,19
2026,13,27,84.27,131.16,20
2026,13,20,83.82,141.81,21
2026,13,10,83.77,132.20,22
2026,13,18,83.47,135.03,23
2026,13,75,83.09,129.94,24
2026,13,78,82.47,128.46,25
2026,13,80,82.16,125.96,26
2026,13,7,81.87,134.02,27
2026,13,4,81.87,124.62,28
2026,13,46,81.75,117.15,29
2026,13,9,81.47,137.62,30
2026,13,22,80.95,129.68,31
2026,13,34,79.69,131.55,32
2026,13,16,79.59,119.75,33
2026,13,70,79.57,129.59,34
2026,13,72,79.47,140.22,35
2026,13,49,78.57,140.69,36
2026,13,48,78.17,133.41,37
2026,13,30,78.07,128.90,38
2026,13,26,77.67,130.46,39
2026,13,21,77.27,134.20,40
2026,13,37,76.77,135.25,41
2026,13,36,76.67,140.30,42
2026,13,54,76.67,130.80,43
2026,13,24,76.27,126.20,44
2026,13,79,75.97,132.62,45
2026,13,65,75.89,121.47,46
2026,13,2,75.07,128.74,47
2026,13,44,74.07,132.78,48
2026,13,74,73.95,117.64,49
2026,13,1,73.67,113.11,50
2026,13,11,73.37,129.18,51
2026,13,73,73.17,127.95,52
2026,13,14,72.69,122.55,53
2026,13,5,72.67,138.42,54
2026,13,28,72.07,127.66,55
2026,13,53,71.55,110.87,56
2026,13,69,70.87,120.79,57
2026,13,45,70.37,131.21,58
2026,13,68,69.87,136.08,59
2026,13,55,69.47,130.14,60
2026,13,3,69.37,125.42,61
2026,13,8,68.66,113.77,62
2026,13,56,68.32,115.55,63
2026,13,43,68.26,121.37,64
2026,13,59,67.63,120.37,65
2026,13,77,67.46,131.49,66
2026,13,50,66.57,124.52,67
2026,13,51,66.37,145.78,68
2026,13,31,62.96,114.82,69
2026,13,60,62.27,115.06,70
2026,13,13,61.72,117.98,71
2026,13,82,60.35,119.46,72
2026,13,12,56.86,107.42,73
2026,13,62,53.23,125.83,74
2026,13,40,52.22,126.21,75
2026,13,81,46.89,103.81,76
2026,13,23,45.52,102.85,77
2026,13,33,39.39,119.74,78
2026,13,58,38.99,112.68,79
2026,13,52,29.93,103.46,80
2026,13,29,29.50,97.85,81
2026,13,76,14.02,110.00,82
2026,13,83,0,100.00,83
