ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2025,1,72,88.68,107.51,1
2025,1,42,88.59,95.51,2
2025,1,6,87.49,103.74,3
2025,1,73,85.75,106.93,4
2025,1,68,84.25,107.33,5
2025,1,60,82.79,102.18,6
2025,1,18,78.73,106.1,7
2025,1,26,78.08,106.51,8
2025,1,71,76.95,96.32,9
2025,1,23,76.94,100.49,10
2025,1,76,76.68,94.18,11
2025,1,21,76.08,103.83,12
2025,1,57,75.79,108.57,13
2025,1,53,75.19,101.5,14
2025,1,9,75.09,98.96,15
2025,1,66,74.89,109.77,16
2025,1,49,74.18,95.12,17
2025,1,62,73.35,98.28,18
2025,1,70,73.24,107.3,19
2025,1,5,72.69,103.9,20
2025,1,59,72.65,95.62,21
2025,1,47,71.95,98.42,22
2025,1,45,71.78,103.6,23
2025,1,28,71.48,108.28,24
2025,1,36,71.39,107.90,25
2025,1,3,70.88,106.76,26
2025,1,11,70.85,105.86,27
2025,1,54,70.79,95.94,28
2025,1,77,70.58,95.84,29
2025,1,27,70.09,102.99,30
2025,1,44,69.85,108.11,31
2025,1,46,69.58,97.99,32
2025,1,16,68.35,104.36,33
2025,1,32,68.19,108.30,34
2025,1,67,68.18,109.82,35
2025,1,80,68.15,94.69,36
2025,1,29,68.09,106.69,37
2025,1,74,68.04,105.25,38
2025,1,78,67.93,97.1,39
2025,1,13,67.79,96.33,40
2025,1,50,67.25,104.72,41
2025,1,34,66.85,109.78,42
2025,1,40,66.45,103.59,43
2025,1,58,66.25,94.26,44
2025,1,15,65.99,99.17,45
2025,1,43,65.68,95.69,46
2025,1,19,65.15,109.49,47
2025,1,14,64.75,108.74,48
2025,1,38,63.83,95.99,49
2025,1,12,63.79,101.71,50
2025,1,20,63.75,96.92,51
2025,1,69,63.65,94.50,52
2025,1,56,63.39,109.35,53
2025,1,41,63.14,110.95,54
2025,1,55,62.45,104.74,55
2025,1,35,62.33,106.21,56
2025,1,79,61.79,105.45,57
2025,1,2,61.45,98.78,58
2025,1,25,61.39,109.20,59
2025,1,48,61.35,110.85,60
2025,1,52,61.33,97.50,61
2025,1,30,61.03,103.41,62
2025,1,7,60.29,101.84,63
2025,1,64,59.93,105.49,64
2025,1,31,59.35,106.36,65
2025,1,39,59.18,104.35,66
2025,1,81,58.45,104.57,67
2025,1,24,58.25,108.42,68
2025,1,33,57.89,98.99,69
2025,1,8,56.23,109.83,70
2025,1,10,55.99,96.90,71
2025,1,17,55.05,102.36,72
2025,1,4,54.25,99.40,73
2025,1,1,53.65,109.36,74
2025,1,61,53.65,103.66,75
2025,1,37,52.75,106.72,76
2025,1,75,52.14,107.65,77
2025,1,22,50.83,95.48,78
2025,1,63,49.19,94.85,79
2025,1,65,48.65,106.41,80
2025,1,51,45.33,99.40,81
