ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2025,4,58,127.11,128.5,1
2025,4,42,122.01,112.40,2
2025,4,43,117.71,111.8,3
2025,4,77,107.41,134.28,4
2025,4,16,105.33,101.74,5
2025,4,72,104.38,121.97,6
2025,4,68,103.25,132.70,7
2025,4,50,102.61,108.85,8
2025,4,29,102.31,125.72,9
2025,4,67,101.21,122.93,10
2025,4,21,101.01,129.42,11
2025,4,44,100.51,127.34,12
2025,4,28,100.21,117.95,13
2025,4,27,100.21,105.85,14
2025,4,26,99.18,116.60,15
2025,4,62,97.71,106.8,16
2025,4,78,97.71,108.2,17
2025,4,31,97.17,127.97,18
2025,4,47,95.61,100.15,19
2025,4,4,95.61,129.15,20
2025,4,17,95.31,129.78,21
2025,4,3,94.77,131.33,22
2025,4,53,94.61,102.19,23
2025,4,54,94.41,128.87,24
2025,4,74,94.25,110.67,25
2025,4,81,93.47,104.37,26
2025,4,30,93.27,123.2,27
2025,4,12,92.28,122.34,28
2025,4,55,91.81,100.67,29
2025,4,60,91.73,109.31,30
2025,4,6,91.41,112.55,31
2025,4,15,90.21,112.47,32
2025,4,71,90.11,125.42,33
2025,4,36,89.81,115.83,34
2025,4,66,89.31,119.58,35
2025,4,76,88.87,135.16,36
2025,4,46,87.77,131.13,37
2025,4,49,87.53,122.68,38
2025,4,14,86.71,134.68,39
2025,4,20,86.71,103.46,40
2025,4,7,86.07,125.35,41
2025,4,24,84.97,115.37,42
2025,4,13,84.67,115.82,43
2025,4,34,84.03,107.80,44
2025,4,2,83.38,135.32,45
2025,4,61,83.03,121.59,46
2025,4,59,82.51,107.23,47
2025,4,5,81.97,126.72,48
2025,4,41,80.51,110.32,49
2025,4,56,79.98,100.3,50
2025,4,75,79.23,105.20,51
2025,4,69,79.17,106.60,52
2025,4,1,78.88,135.49,53
2025,4,9,78.87,114.97,54
2025,4,57,76.87,118.61,55
2025,4,11,76.87,134.12,56
2025,4,45,76.51,102.15,57
2025,4,52,74.73,134.58,58
2025,4,25,73.27,128.1,59
2025,4,63,72.94,116.82,60
2025,4,32,71.97,112.23,61
2025,4,23,71.41,117.67,62
2025,4,65,67.23,128.99,63
2025,4,39,65.57,125.23,64
2025,4,19,65.03,123.92,65
2025,4,38,64.21,110.81,66
2025,4,73,64.01,129.55,67
2025,4,79,62.67,102.36,68
2025,4,48,61.53,120.95,69
2025,4,64,60.27,107.15,70
2025,4,51,59.5,127.1,71
2025,4,10,58.57,126.69,72
2025,4,70,55.45,126.61,73
2025,4,18,55.03,111.38,74
2025,4,33,51.83,109.22,75
2025,4,40,48.67,117.71,76
2025,4,80,46.38,105.78,77
2025,4,35,46.17,121.93,78
2025,4,22,45.77,126.14,79
2025,4,37,39.7,122.65,80
2025,4,8,37.96,111.41,81
