ano,rodada,cartola_time_id,pontos,patrimonio,posicao
2025,7,41,121.54,110.32,1
2025,7,76,120.74,135.16,2
2025,7,46,115.76,131.13,3
2025,7,2,114.96,135.32,4
2025,7,14,114.94,134.68,5
2025,7,23,114.24,117.67,6
2025,7,55,113.94,100.67,7
2025,7,50,113.71,108.85,8
2025,7,48,111.54,120.95,9
2025,7,30,111.41,123.2,10
2025,7,63,111.15,116.82,11
2025,7,19,111.11,123.92,12
2025,7,71,110.94,125.42,13
2025,7,27,110.84,105.85,14
2025,7,40,109.94,117.71,15
2025,7,54,109.84,128.87,16
2025,7,79,109.23,102.36,17
2025,7,64,108.84,107.15,18
2025,7,34,107.74,107.80,19
2025,7,49,104.95,122.68,20
2025,7,7,104.84,125.35,21
2025,7,73,104.36,129.55,22
2025,7,78,104.36,108.2,23
2025,7,62,102.54,106.8,24
2025,7,80,102.45,105.78,25
2025,7,72,102.26,121.97,26
2025,7,28,102.04,117.95,27
2025,7,12,101.66,122.34,28
2025,7,81,100.04,104.37,29
2025,7,31,97.41,127.97,30
2025,7,24,96.54,115.37,31
2025,7,29,95.64,125.72,32
2025,7,25,95.64,128.1,33
2025,7,51,95.46,127.1,34
2025,7,60,95.14,109.31,35
2025,7,59,94.64,107.23,36
2025,7,45,94,102.15,37
2025,7,16,93.54,101.74,38
2025,7,77,92.84,134.28,39
2025,7,13,92.84,115.82,40
2025,7,3,92.76,131.33,41
2025,7,4,92.5,129.15,42
2025,7,32,91.34,112.23,43
2025,7,42,91.31,112.40,44
2025,7,68,91.3,132.70,45
2025,7,15,90.06,112.47,46
2025,7,61,90.03,121.59,47
2025,7,66,89.84,119.58,48
2025,7,47,89.76,100.15,49
2025,7,26,89.54,116.60,50
2025,7,18,89.34,111.38,51
2025,7,39,89.31,125.23,52
2025,7,52,88.36,134.58,53
2025,7,1,88.14,135.49,54
2025,7,11,87.86,134.12,55
2025,7,57,87.56,118.61,56
2025,7,56,87.56,100.3,57
2025,7,43,86.71,111.8,58
2025,7,58,86.64,128.5,59
2025,7,21,85.94,129.42,60
2025,7,74,85.75,110.67,61
2025,7,20,85.24,103.46,62
2025,7,65,84.94,128.99,63
2025,7,9,84.6,114.97,64
2025,7,75,84.4,105.20,65
2025,7,6,84.3,112.55,66
2025,7,17,83.66,129.78,67
2025,7,53,83.1,102.19,68
2025,7,33,83.04,109.22,69
2025,7,67,82.99,122.93,70
2025,7,10,82.76,126.69,71
2025,7,5,82.44,126.72,72
2025,7,69,81.84,106.60,73
2025,7,22,80.5,126.14,74
2025,7,44,77.16,127.34,75
2025,7,37,77.14,122.65,76
2025,7,36,76.64,115.83,77
2025,7,8,67.37,111.41,78
2025,7,70,57.06,126.61,79
2025,7,35,56.8,121.93,80
2025,7,38,49.44,110.81,81
